X=  0.00000, Y=  0.00000, th=  3.14159 
X=  -0.24435, Y=  0.00039, th=  3.13841 
X=  -0.24435, Y=  0.00039, th=  3.13841 
X=  -0.24435, Y=  0.00039, th=  3.13841 
X=  -0.48869, Y=  0.00078, th=  3.14159 
X=  -0.97738, Y=  0.00078, th=  3.14159 
X=  -1.22173, Y=  0.00117, th=  3.13841 
X=  -1.46608, Y=  0.00156, th=  3.14159 
X=  -1.95477, Y=  0.00156, th=  3.14159 
X=  -2.44346, Y=  0.00156, th=  3.14159 
X=  -2.93215, Y=  0.00156, th=  3.14159 
X=  -3.42084, Y=  0.00156, th=  3.14159 
X=  -3.90954, Y=  0.00156, th=  3.14159 
X=  -4.64257, Y=  0.00039, th=  -3.13841 
X=  -5.37561, Y=  -0.00078, th=  -3.14159 
X=  -5.86430, Y=  -0.00078, th=  -3.14159 
X=  -6.35300, Y=  -0.00078, th=  -3.14159 
X=  -7.33038, Y=  -0.00078, th=  -3.14159 
X=  -7.81907, Y=  -0.00078, th=  -3.14159 
X=  -8.55211, Y=  -0.00194, th=  -3.13841 
X=  -9.28515, Y=  -0.00311, th=  -3.14159 
X=  -10.01818, Y=  -0.00194, th=  3.13841 
X=  -10.75122, Y=  -0.00078, th=  3.14159 
X=  -11.48426, Y=  -0.00194, th=  -3.13841 
X=  -12.21730, Y=  -0.00311, th=  -3.14159 
X=  -13.19468, Y=  -0.00311, th=  -3.14159 
X=  -13.68337, Y=  -0.00311, th=  -3.14159 
X=  -14.66076, Y=  -0.00311, th=  -3.14159 
X=  -15.39379, Y=  -0.00428, th=  -3.13841 
X=  -16.37117, Y=  -0.00739, th=  -3.13841 
X=  -17.10421, Y=  -0.00855, th=  -3.14159 
X=  -18.08160, Y=  -0.00855, th=  -3.14159 
X=  -18.81463, Y=  -0.00972, th=  -3.13841 
X=  -19.79201, Y=  -0.01283, th=  -3.13841 
X=  -20.52504, Y=  -0.01633, th=  -3.13523 
X=  -21.25807, Y=  -0.01983, th=  -3.13841 
X=  -22.23545, Y=  -0.02294, th=  -3.13841 
X=  -23.21283, Y=  -0.02605, th=  -3.13841 
X=  -24.19021, Y=  -0.02916, th=  -3.13841 
X=  -24.92324, Y=  -0.03266, th=  -3.13523 
