X=  600.00000, Y=  2600.00000, th=  0.00000 
X=  600.22689, Y=  2599.99963, th=  -0.00324 
X=  600.45379, Y=  2599.99926, th=  0.00000 
X=  600.68068, Y=  2599.99890, th=  -0.00324 
X=  600.90757, Y=  2599.99853, th=  0.00000 
X=  601.36136, Y=  2599.99853, th=  0.00000 
X=  601.81514, Y=  2599.99853, th=  0.00000 
X=  602.49582, Y=  2599.99743, th=  -0.00324 
X=  602.94960, Y=  2599.99743, th=  0.00324 
X=  603.63028, Y=  2599.99853, th=  0.00000 
X=  604.53785, Y=  2599.99853, th=  0.00000 
X=  605.21853, Y=  2599.99963, th=  0.00324 
X=  605.67231, Y=  2600.00110, th=  0.00324 
X=  606.57988, Y=  2600.00404, th=  0.00324 
X=  607.48745, Y=  2600.00699, th=  0.00324 
X=  608.39501, Y=  2600.00993, th=  0.00324 
X=  609.30258, Y=  2600.01287, th=  0.00324 
X=  609.75636, Y=  2600.01434, th=  0.00324 
X=  610.66393, Y=  2600.01728, th=  0.00324 
X=  611.57150, Y=  2600.02022, th=  0.00324 
X=  612.47906, Y=  2600.02317, th=  0.00324 
X=  613.61352, Y=  2600.02500, th=  -0.00000 
X=  614.52110, Y=  2600.02500, th=  -0.00000 
X=  615.42867, Y=  2600.02500, th=  -0.00000 
X=  616.33624, Y=  2600.02500, th=  -0.00000 
X=  617.47070, Y=  2600.02684, th=  0.00324 
X=  618.37827, Y=  2600.02979, th=  0.00324 
X=  619.28583, Y=  2600.03273, th=  0.00324 
X=  620.42030, Y=  2600.03457, th=  -0.00000 
X=  621.32787, Y=  2600.03457, th=  -0.00000 
X=  622.68922, Y=  2600.03457, th=  -0.00000 
X=  623.59680, Y=  2600.03457, th=  -0.00000 
X=  624.50437, Y=  2600.03457, th=  -0.00000 
X=  625.63883, Y=  2600.03640, th=  0.00324 
X=  626.77329, Y=  2600.03824, th=  -0.00000 
X=  627.90775, Y=  2600.03640, th=  -0.00324 
X=  628.81532, Y=  2600.03346, th=  -0.00324 
X=  629.94978, Y=  2600.03162, th=  -0.00000 
X=  631.08425, Y=  2600.02979, th=  -0.00324 
X=  632.44560, Y=  2600.02537, th=  -0.00324 
X=  633.35316, Y=  2600.02243, th=  -0.00324 
X=  634.48762, Y=  2600.02059, th=  -0.00000 
X=  635.62209, Y=  2600.01875, th=  -0.00324 
X=  636.98344, Y=  2600.01434, th=  -0.00324 
X=  637.89100, Y=  2600.01140, th=  -0.00324 
X=  639.02547, Y=  2600.00956, th=  -0.00000 
X=  640.15993, Y=  2600.00772, th=  -0.00324 
X=  641.52128, Y=  2600.00331, th=  -0.00324 
X=  642.42884, Y=  2600.00037, th=  -0.00324 
X=  643.79019, Y=  2599.99596, th=  -0.00324 
X=  644.92466, Y=  2599.99412, th=  -0.00000 
X=  646.05912, Y=  2599.99228, th=  -0.00324 
X=  647.19358, Y=  2599.99044, th=  -0.00000 
X=  648.32804, Y=  2599.98860, th=  -0.00324 
X=  649.68939, Y=  2599.98419, th=  -0.00324 
X=  650.59696, Y=  2599.98125, th=  -0.00324 
