X=  2200.00000, Y=  2600.00000, th=  0.00000 
X=  2200.22689, Y=  2599.99963, th=  -0.00324 
X=  2200.45379, Y=  2599.99926, th=  0.00000 
X=  2200.45379, Y=  2599.99926, th=  0.00000 
X=  2200.90757, Y=  2599.99926, th=  0.00000 
X=  2201.36136, Y=  2599.99926, th=  0.00000 
X=  2202.04203, Y=  2599.99816, th=  -0.00324 
X=  2202.26893, Y=  2599.99779, th=  0.00000 
X=  2203.17650, Y=  2599.99779, th=  0.00000 
X=  2203.85717, Y=  2599.99669, th=  -0.00324 
X=  2204.53785, Y=  2599.99559, th=  0.00000 
X=  2205.21853, Y=  2599.99448, th=  -0.00324 
X=  2205.89921, Y=  2599.99338, th=  0.00000 
X=  2206.57989, Y=  2599.99228, th=  -0.00324 
X=  2207.48745, Y=  2599.98934, th=  -0.00324 
X=  2208.39502, Y=  2599.98639, th=  -0.00324 
X=  2209.07570, Y=  2599.98529, th=  0.00000 
X=  2209.98327, Y=  2599.98529, th=  0.00000 
X=  2210.66394, Y=  2599.98419, th=  -0.00324 
X=  2211.57151, Y=  2599.98125, th=  -0.00324 
X=  2212.47908, Y=  2599.97830, th=  -0.00324 
X=  2213.38664, Y=  2599.97536, th=  -0.00324 
X=  2214.52111, Y=  2599.97352, th=  0.00000 
X=  2215.42868, Y=  2599.97352, th=  0.00000 
X=  2216.33625, Y=  2599.97352, th=  0.00000 
X=  2217.47071, Y=  2599.97169, th=  -0.00324 
X=  2218.37828, Y=  2599.96874, th=  -0.00324 
X=  2219.28584, Y=  2599.96580, th=  -0.00324 
X=  2220.42031, Y=  2599.96396, th=  0.00000 
X=  2221.32788, Y=  2599.96396, th=  0.00000 
X=  2222.46234, Y=  2599.96213, th=  -0.00324 
X=  2223.59680, Y=  2599.96029, th=  0.00000 
X=  2224.73127, Y=  2599.95845, th=  -0.00324 
X=  2225.86573, Y=  2599.95661, th=  0.00000 
X=  2227.00019, Y=  2599.95845, th=  0.00324 
X=  2228.13465, Y=  2599.96029, th=  0.00000 
X=  2229.49601, Y=  2599.96029, th=  0.00000 
X=  2230.40358, Y=  2599.96029, th=  0.00000 
X=  2231.76494, Y=  2599.96029, th=  0.00000 
X=  2233.12629, Y=  2599.96029, th=  0.00000 
X=  2234.03387, Y=  2599.96029, th=  0.00000 
X=  2235.39522, Y=  2599.96029, th=  0.00000 
X=  2236.75658, Y=  2599.96029, th=  0.00000 
X=  2237.66415, Y=  2599.96029, th=  0.00000 
X=  2239.02551, Y=  2599.96029, th=  0.00000 
X=  2240.15997, Y=  2599.95845, th=  -0.00324 
X=  2241.29443, Y=  2599.95661, th=  0.00000 
X=  2242.65579, Y=  2599.95661, th=  0.00000 
X=  2243.79025, Y=  2599.95477, th=  -0.00324 
X=  2244.92471, Y=  2599.95293, th=  0.00000 
X=  2246.05918, Y=  2599.95109, th=  -0.00324 
X=  2247.19364, Y=  2599.94926, th=  0.00000 
X=  2248.32810, Y=  2599.94742, th=  -0.00324 
X=  2249.46256, Y=  2599.94558, th=  0.00000 
X=  2250.82392, Y=  2599.94558, th=  0.00000 
X=  2251.73149, Y=  2599.94558, th=  0.00000 
X=  2252.86595, Y=  2599.94374, th=  -0.00324 
